TEMP,DEWP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP
75.5,56.6,1.5,2,6,93.2,57.9,0
77.6,48.4,1.7,5.5,13,93.6,61.9,0
74.3,40.7,2.2,4.5,9.9,89.6,55.4,0
77.4,47.3,2.5,1.3,4.1,92.1,54.3,0
73.6,50.3,2.3,2,6,88.3,58.8,0
76.9,52,1.7,1.7,8,92.3,56.1,0
79.4,52.6,1.7,1.7,2.9,95,58.6,0
82.1,56.6,2,0.8,2.9,95.7,61.5,0
79.8,58.6,1.6,0.7,2.9,96.4,61.7,0
82.8,58.6,1.7,1.2,4.1,98.6,64.6,0
85.9,55,1.7,2.4,4.1,101.5,66.9,0
88.2,50.4,2,5.9,12,103.3,70.9,0
88.3,48.7,2.2,7.2,15,102.6,74.5,0
83.8,49.5,1.7,5.6,11.1,100,65.1,0
85.3,48.4,3,3.9,9.9,101.7,65.8,0
90,44.3,2.3,6.1,12,104,69.8,0
86.2,46.7,2.5,3.6,9.9,102.9,69.4,0
85.5,43.7,2.5,4.1,14,102.6,68,0
88.9,42.4,2.5,6.7,18.1,106,71.2,0
89.8,44,2.2,3.1,8,105.4,69.3,0
87.9,51.5,2.6,1.6,2.9,101.1,68.4,0
88.6,59.9,2.2,3.5,8,99.3,68.5,0
84.8,65.2,2.8,6.8,12,94.3,71.4,0
87.8,69.5,2.2,5.4,8,98.6,74.7,0
86.5,66.5,1.5,9.8,16.9,95,77,0
76.8,66.2,1.8,6.7,14,84.2,68.4,0.02
85.3,67.6,2,1.8,6,94.5,70.3,0.29
89.8,65.1,2.2,3.3,8,102.2,73,0
86.1,70.9,2.5,6.9,9.9,95.9,72.5,0
89.1,73.4,2.4,7.3,13,96.8,77,0
89.8,76.6,2.3,8.1,14,96.1,77.4,0
84.6,70.4,2.5,7.5,11.1,96.8,68.7,0.16
87.1,76.2,2.4,6.9,9.9,94.3,75.4,0
93,62.9,2.6,4.2,8,105.1,76.6,0.02
83.4,67.8,2.6,8,11.1,95,71.8,0.03
80.4,67.8,2.7,9.4,14,89.6,72,0
82.4,70.1,2.7,9.1,12,90,71.4,0
78.6,71.5,2.3,8.5,12,84.9,73.9,0.12
85.3,71,2.7,4.4,9.9,93.6,70.7,0.47
84,75.4,2.2,5.9,9.9,91.8,75.7,0
88.1,76.8,2,3,8.9,97,75.7,0
91.2,73,2,4.6,12,104.2,78.1,0
83.1,71.3,2.8,9.7,15,90,74.5,0
83.1,70.9,2.7,10.3,15,92.3,71.8,0
86.7,68.1,2.8,8.5,12,95.5,75.2,0
89.7,68.8,2.8,6.9,8,97,78.3,0
89.4,66.3,2.6,6.6,15,99.9,77,0
85.2,69.8,2.5,5.6,12,91.4,76.6,0
86,71.4,2.6,4.8,8,96.8,73.6,0
92.7,69.3,2.5,2.8,7,100.4,76.3,0
92.6,71.4,2.5,2.5,8,102.2,81.7,0
94,69.1,2.6,1.1,8,104.7,80.1,0
97.4,68.7,2.7,2.4,6,106.5,83.3,0
95.6,74.5,2.1,3.7,12,109.2,85.5,0
97.8,68.5,2.4,2.9,6,106.2,83.5,0
92.5,70.9,2.1,4,12,104.9,84.2,0
87,73.2,2.7,2.5,8,93.6,74.7,0.16
87.3,78,2.2,1.2,5.1,97.5,81,0
92.6,76.7,2.7,7.1,45.8,99.3,81,0.28
91.2,79,2.5,6.6,9.9,97.3,81.9,0
84.9,72.7,2.8,8,12,91.4,76.1,0
80.2,74.9,2.6,4.5,12,86,73,2.13
83,75.7,2.4,5.8,8,89.8,75.6,0.16
84.2,75.8,2.9,4.7,9.9,90,76.5,0
86.4,77,2.6,4.4,8,91.4,77.9,0
88.8,78.7,2.5,2,5.1,94.1,81.1,0
89.6,75.6,2.9,4.1,8,99,78.3,0
88.2,78.4,2.9,4.9,8,97.2,79.3,0
86.4,74.8,2.8,7.1,9.9,95,73.4,0
85.1,77.4,2.4,6.6,9.9,91.4,78.1,0
83.8,73.1,2.5,5.4,12,89.6,77.4,0
83.2,75.1,2.7,5.1,29.9,89.6,76.3,0.28
90.5,75.3,2.3,1.6,5.1,110.5,77.5,0
85.6,76.8,2.5,3.4,8,91.4,79.7,0.02
89.8,77.1,2.7,5.3,8,95,78.8,0.08
93,77.5,2.8,7.5,25.1,99,83.8,0
87.5,76.2,2.5,6,9.9,95.4,79.5,0.12
82.1,77.6,2.3,10.2,12,86.7,76.6,0.31
84,78.5,3,8.4,12,90.9,77.7,0
84.8,79.4,2.5,6.3,9.9,93.2,77.4,1.1
84.8,79.4,2.6,1.9,4.1,91.9,76.3,1.54
85.1,79.7,1.8,0.6,2.9,95.2,80.6,0.12
90.6,78.3,2.7,1.3,6,97.2,80.6,0.87
89.3,79.1,2.4,1.6,8,98.6,82.4,0
90,78.4,2.7,1.2,4.1,99.7,81.5,0
90.7,77.8,2.3,4,12,100.4,82.4,0
80.2,76.5,2.2,0.9,5.1,85.6,75.7,4.61
82.4,78.7,2.2,0,5.1,88.3,78.6,0.16
88.4,79.6,2.6,2.4,8,93.2,80.2,0.12
85.7,79.4,2.4,3.8,14,97.5,81.7,0
86.3,78.2,3,8.7,12,91.4,81.3,0.08
85.7,79.1,2.8,5.5,9.9,90.7,80.6,0.02
85.6,80,2.2,3.1,8,93.4,77.5,0.02
79.1,77.7,1.8,2.4,6,80.6,76.6,2.64
85.8,78.7,2.6,3,8,91.8,78.1,0.39
89,79.8,2.5,3,9.9,97.2,79.7,0
88,79,2.4,2.1,8,91.4,78.4,0.28
86.3,77.8,2.2,3.5,6,95.7,77,0.16
85.9,78.9,2.5,1.8,6,93.2,76.1,1.42
88.4,80.4,2.6,4.6,8,93.2,81.3,0.08
88.1,79,2.9,5.1,8,93.2,81.7,0
88.3,76.9,2.8,4.1,8,93.2,80.2,0
91,78,2.5,3.4,8,96.1,81.1,0
83.6,77.7,2.2,3.1,12,95,77,1.97
88.3,79.2,2.7,0.7,5.1,95.2,78.8,0
89.3,80.5,2.5,0.5,22,95,80.8,0
90.3,80.1,2.5,0.4,1.9,97.2,82.6,0
84.6,78.2,2.8,4.6,9.9,89.6,82,0.04
85.4,80.4,4.5,2.1,8,89.6,80.2,0.24
88.2,79.6,2.7,0.9,5.1,97,80.2,0
86,80,2.4,0.8,1.9,94.8,79.2,0
85.1,79.8,2.5,1,5.1,91,77,2.01
88.2,79.5,2.6,8,12,93.2,81.9,0
87.9,79.5,2.8,6.9,18.1,93.2,82.8,0
84.4,80.3,2.5,8.1,12,90.1,79.5,0.24
85.1,79.9,2.9,5.1,9.9,91.4,80.2,0.2
83.8,80.4,2.8,2.5,6,87.1,80.4,0.12
86.2,79.1,2.8,2.4,5.1,91.4,79.2,0
88.2,79.4,2.7,5.2,12,93.4,81.5,0
86.6,78.5,2.2,6.9,12,93.2,78.8,0.08
83.9,78,2.4,10.3,15.9,89.1,78.4,0.75
81.7,78.1,2.1,7.1,15.5,86.9,78.1,0.08
82.9,77.1,2.5,2.7,11.7,88,77.4,1.5
87.1,78.3,2.6,1.6,8,92.3,79,0.01
85.1,76.5,2.9,5.1,9.9,89.6,80.1,0
84.2,78.4,2,4,8,91.4,79.9,0.12
83.5,79.3,2.4,1.6,2.9,89.1,78.8,0.47
85.6,78.5,2.6,2.3,8,92.3,78.8,0.43
86.9,78.2,2.6,5.7,12,93.2,79,0.43
86.9,77.6,2.6,7.1,12,92.1,80.1,0
84.6,78.5,2.2,3.7,8,89.6,79,0
85.8,78.7,2.6,2.9,8,94.3,78.8,0
84.7,79.5,2.3,1.3,5.1,88.5,79.2,0.12
81.6,77.6,1.9,5.8,8,87.8,78.4,0.51
87,76,2.6,6,11.1,93.2,77.9,0.63
89.1,75.1,2.8,5.5,12,95.9,81.5,0
89.8,76.3,2.7,6.3,9.9,95.9,82.4,0
90.1,80.2,2.6,3.2,8,97.5,81.1,0
89.7,78.6,2.4,1.4,4.1,97.5,82.2,0.16
86.9,79.7,2.2,1.1,5.1,95,81.9,0
81.3,78.7,1.8,0.7,2.9,85.6,77,1.26
84.6,79.4,2.3,3.1,12,90.7,79,2.6
84.9,77.8,2.7,7,12,91.4,79.5,0.01
85.8,78.1,3.1,7.8,12,91.8,78.4,0.39
87.8,77.8,2.7,5.5,40,93.4,80.6,0
86.1,78.7,2.6,2.3,9.9,91.8,77.4,1.18
85.6,77.9,2.7,1.6,4.1,90.5,78.1,0
85.3,79,2.7,1.8,6,89.6,80.4,0
85.8,78.7,2.6,3.8,8,90.3,80.4,0.08
83.1,79.3,2,1.4,5.1,87.3,79.3,0.02
87.2,79.2,2.4,8.3,12,91.4,80.6,0.08
86.4,78.1,2.7,5.5,9.9,91.6,81.1,0
86.4,79.1,2.6,5,11.1,92.5,81.5,0
86,79,2.9,6.4,9.9,91.4,81.7,0
87.6,79.3,2.5,4.5,9.9,93.2,81.3,0
88.2,78,2.7,3.8,8,93.4,80.1,0.01
88.5,78.6,2.7,5.4,11.1,92.5,81.3,0
88.5,78.6,2.6,2.4,6,95,81.7,0
89.8,79.1,2.6,0.8,2.9,95.2,81,0
88.2,79.3,2.6,2.4,8,95.4,82.4,0
86,79.9,2.4,3.8,13,92.1,83.8,0.35
82.3,79.9,1.8,1.3,4.1,90.5,78.8,2.24
81.2,77.8,2.3,1,5.1,86,76.5,0.02
83.1,78.2,2.5,3.2,9.9,86.4,79.5,0.94
80.4,78.4,2,7.8,12,82.4,78.4,0.12
81.8,78.5,2.5,7.5,12,87.3,76.8,0.79
84.4,76.5,2.5,7,9.9,88.5,80.2,0.47
84.5,75.9,2.7,4.6,9.9,88.2,78.4,0
83.9,76.9,3,2.1,5.1,87.8,79.9,0
81.3,77.8,2.2,0,5.1,86,78.1,0.02
84,79.4,2.5,2.1,4.1,89.8,75.6,0.94
80.6,78,2,4.8,6,82.4,74.8,2.32
80.7,77.9,2,0.5,5.1,88.9,78.8,0
81.7,76.4,2.2,5.6,12,87.3,77.7,0.39
83.2,77,2.8,4.3,8,88.9,75.9,0
85.8,77.8,2.7,2.5,6,92.8,78.1,0
87.4,77.9,2.5,1.2,6,93.2,80.2,0
85.9,78.5,1.9,3.1,8.9,93.2,80.6,0.01
84.9,77.5,2.5,7.4,12,89.6,77.7,0.51
84.5,78.5,2,6,9.9,91.4,78.8,0.03
80.9,77.5,2.1,5.1,9.9,82.4,78.8,0
79.7,75.4,2.7,6.4,8,82,76.6,0.02
81.3,73.1,2.9,5.9,9.9,85.3,75.9,0.04
77.1,72.7,2.2,9.5,12,78.8,74.5,0
75.7,74.3,2.1,9.3,12,78.3,74.5,1.34
78.7,74.9,2.8,4.4,8,81.3,73.4,0.04
81.4,76.5,2.1,0.2,1.9,86.2,75.9,0
82.4,76.6,2,1.1,6,89.6,75,0
85.7,77.6,2.3,2.5,8,93.2,77.5,0
85.7,75.9,2.4,1.2,2.9,93.2,76.6,0.28
85.1,74.9,2.7,1.1,2.9,91.4,75.4,0
85.7,76.1,2.4,0.6,4.1,93.2,76.8,0
84.9,75.9,2.5,1.7,5.1,92.1,75.7,0
83.8,74.7,2.3,0.6,2.9,90.7,74.8,0
84.8,72.4,2.4,1.5,5.1,91.9,74.8,0
83.5,74,3,2.2,9.9,89.8,76.1,0
84.8,76,2.4,0.1,2.9,93.6,76.3,0
85.5,75.8,2.6,0.7,1.9,92.1,77.4,0
84.9,76.6,2,0.3,1.9,93.4,76.3,0
86.2,77.2,2.3,0.2,2.9,94.1,77.7,0
87.5,78.4,2.3,0.4,4.1,95,77.9,0
86.2,77.5,2.4,0.4,4.1,93.6,79.7,0
86,76.3,2.5,0.6,4.1,93.4,78.8,0
86.2,77,2.1,1.3,6,94.3,78.3,0
85.6,74.6,2.4,1.3,5.1,93.2,73.4,0
84.6,74.4,2.4,1.7,5.1,93.6,76.3,0
82.8,67.3,2.1,1.3,5.1,111.7,70.3,0
80.3,66.1,2.4,0.3,2.9,91.8,66.9,0
81.1,70.3,2.3,0.9,2.9,91.8,69.8,0
82.6,71.2,2.1,0.3,2.9,93.6,70.7,0
85.4,70.5,2.2,0.3,4.1,95.2,69.8,0
83.5,71.3,2.2,0.5,2.9,95,69.8,0
83.5,72,2.4,0.5,2.9,92.8,70.5,0
83.9,72.5,2.3,0.5,1.9,95,73.4,0
83.1,73,2.3,0.9,2.9,91.4,73.4,0
83.1,74.7,1.8,1.5,4.1,90.3,75.2,0
81.5,75.1,1.5,0.6,4.1,91.4,74.8,0
83.5,72.2,1.8,0.4,1.9,93.6,72,0
80.6,73.4,1.6,1.1,4.1,90,73,0
81.7,72.9,2.1,0.4,1.9,90.9,71.1,0
82.3,69.3,1.9,4.3,8,89.6,70.2,0
78.7,68.8,2.6,5.2,8,86,71.6,0
76.7,64.7,2.7,2.4,8,82.4,67.6,0
79,66.9,2.3,0.9,5.1,87.3,64.4,0
78,68.9,2.4,0,1.9,87.8,67.3,0
80.3,65.8,2.3,3.4,8,87.1,66.4,0
80.6,66.2,2.5,1,2.9,88,65.5,0
77.3,66.7,2.4,0.2,2.9,88.9,68.4,0
81.4,64.7,2.6,0.7,5.1,89.6,65.7,0
79,65.3,2.6,1.7,6,89.2,66,0
77,63.8,2.1,1,1.9,88.5,63.3,0
76.9,64.1,2.1,2.4,18.1,88.7,62.1,0
78.5,61.6,2.5,1.8,6,89.1,63,0
76.6,60.2,2.4,1.4,6,90.3,61,0
78.4,61.8,2.4,1.3,5.1,90.3,62.1,0
76.6,59.9,2.1,1.7,6,88.9,60.3,0
73.6,58.8,1.8,1.9,5.1,86.9,59.7,0
73.7,56.2,2.1,1,2.9,85.8,56.1,0
73.8,60.1,1.6,0.9,2.9,86,57.6,0
72.2,62,1.7,0.4,1.9,86.9,59.4,0
73,65.3,1.4,0.7,4.1,82.4,62.1,0
73.1,66.1,1,0.8,2.9,81.7,60.3,0
73.5,66.6,1,0.6,2.9,82.4,62.1,0
73.4,62.5,1.4,0.6,4.1,86,60.1,0
76.1,63.1,1.8,3.2,20,87.8,61.3,0
73,66,1.5,2.6,8,80.6,66.2,0
72.6,66,1.7,1.6,5.1,81.9,65.8,0
72.8,65.5,1.6,0.3,2.9,82.4,63.3,0
71.6,62.9,1.3,0.3,1.9,83.8,59,0
73,60.8,1.4,1.9,6,83.8,60.1,0
70.8,53.5,1.8,1.6,6,82.8,55.9,0
69.6,53,1.9,1,2.9,82.8,51.8,0
68.7,55.5,1.4,1.4,7,81,53.8,0
69.5,56.5,1.3,1.6,5.1,81,54.5,0
66.4,53.6,1.1,0.8,2.9,79.7,54.9,0
59.9,45.3,1.6,2.1,6,77.2,51.3,0
63.2,44.6,1.9,2,5.1,77,46.2,0
63.2,48.1,1.4,0.8,2.9,77,45.3,0
63.4,47.9,1.5,1.7,6,77.7,50,0
61.4,51,1,0.6,2.9,77,47.5,0
63.7,52.3,0.9,0.4,2.9,78.6,47.5,0
64.4,53.7,0.8,0.6,1.9,77.4,48.6,0
63.9,55.3,0.6,0.4,1.9,78.3,48.2,0
65.2,51.7,1.1,0.9,4.1,80.6,47.5,0
64.7,52.5,1.1,0.5,2.9,79,48.6,0
66.9,51.2,1.2,1.4,5.1,79.2,49.8,0
61.4,48.7,1.1,1.1,4.1,77.4,47.7,0
61.7,48.6,1.1,1.3,6,75.2,46.6,0
60,49.5,1,0.3,2.9,77.4,44.8,0
63.4,52.3,1,0.7,2.9,79.2,47.3,0
65.2,52.2,1,0.3,1.9,80.2,48.4,0
64.2,54.1,0.9,0.3,1.9,78.4,49.6,0
65.4,57.2,0.7,0.8,5.1,78.8,48.9,0
68.9,55.1,1.4,2.1,6,79.9,53.1,0
64,50.5,1.3,1.5,4.1,75.9,48.6,0
62.5,51.1,1.1,1,4.1,76.3,46.2,0
63.3,52.1,1,1.5,6,75.2,48.4,0
63.8,54.4,1,0.6,1.9,77,48.7,0
65.3,54.3,0.9,1.4,2.9,77,51.1,0
65.3,55.3,1,0.1,1.9,79.3,50.7,0
65.9,55.2,1.3,1,5.1,79.9,51.4,0
64.4,54.3,1.2,0.3,1.9,78.8,50.5,0
64.8,54.7,1.1,0.3,1.9,78.3,49.5,0
64,54.9,0.9,0.7,2.9,75.2,49.1,0
63.4,53.1,1,0.2,1.9,78.8,47.7,0
67,54.1,0.8,2.4,5.1,76.1,51.3,0
64.1,57.3,0.6,1.4,6,68,59,0
64.3,59.1,1.4,0.4,5.1,71.6,57.9,0.47
58,53.9,0.9,3.2,8,63.1,51.8,0
57.5,51.4,0.9,3.4,8,66.2,46.9,0
54.3,45.8,1.3,3.9,9.9,60.8,44.6,0
54.4,45.9,1,1.1,5.1,64.8,39.6,0
55.7,46,1,1,2.9,68,38.1,0
57.7,49.3,0.9,0.6,1.9,68,40.1,0
59.2,48.4,1,1.4,4.1,70.2,45.7,0
57.3,44.1,1.2,1.8,6,69.8,41.7,0
53.5,47.7,0.6,1.6,5.1,64.4,40.5,0
55,49.7,0.6,2.2,8,65.5,40.1,0
55.8,47.1,0.7,1.8,4.1,66.9,47.8,0
58.1,47.3,1,1.6,6,71.6,41.2,0
59.4,46.9,1.1,1.5,6,74.1,40.8,0
61,48.8,1.3,1.7,6,74.1,41.5,0
60.4,46,1.4,0.7,8,75.9,44.6,0
59.2,43.3,1.4,1.6,6,73.4,40.1,0
61.9,48.4,1.2,0.9,4.1,76.1,43.3,0
60.1,48.3,1.1,0.7,4.1,77,43.9,0
63.5,47.6,1.1,0.3,1.9,78.3,42.4,0
66.9,53.5,1.2,2.8,8,77.7,51.6,0
66.3,53.1,0.9,4.5,9.9,76.3,54.3,0
62.6,41.9,1.8,6.1,12,72,52.2,0
58.4,40.9,1.6,3.2,9.9,70.5,46.8,0
59.1,45.3,1.6,2.1,7,72.7,42.4,0
61.4,47.6,1.3,1.4,8,75.2,42.8,0
63.8,49.5,1.2,1.8,6,74.7,44.8,0
60.8,51.1,0.9,0.9,2.9,75.6,46,0
65.6,51.9,1.1,1,5.1,77.5,47.8,0
65.9,56.7,0.8,0.3,1.9,78.4,49.8,0
71.7,55.3,1.3,2.8,7,82.4,53.1,0
67,48.6,1.6,5.2,8,77,56.1,0
62.3,43.3,1.9,3.2,8,74.3,46.4,0
60.8,42.6,1.7,1.3,2.9,73.4,41.2,0
65.6,47.2,1.5,0.9,2.9,75.6,48,0
64.9,47.3,1.6,2.6,9.9,77,44.8,0
66.1,43.5,2,4.7,8,78.8,49.3,0
66.6,45,2,4.9,9.9,79.5,50.9,0
66,43.7,1.8,4.6,11.1,78.8,53.1,0
65.7,48.1,1.7,2.1,6,77.7,43,0
65.9,50.2,1.6,1.6,6,79.2,50.9,0
67.7,47.1,1.8,2.6,9.9,80.4,46.2,0
68.7,50.3,1.7,2.3,6,82.4,48.7,0
69,52.2,1.3,1.6,6,85.3,47.8,0
73.9,57.7,1.2,4.6,12,85.3,54.5,0
72.4,59.4,1.9,2,6,84.2,59.4,0.03
73.1,59.5,1.6,1.2,5.1,82.8,56.8,0
74.9,57,1.7,1.4,5.1,85.3,57.6,0
72.4,56.4,1.3,3.2,8,84.6,58.1,0
70.8,52,1.9,3.3,8.9,83.5,54.9,0
70.2,56.3,1.4,2.8,9.9,80.6,55.4,0
72.3,54.6,1.6,3.4,9.9,83.3,55.2,0
70.9,53.6,2.3,2.7,8,82.4,54.9,0
74.5,58.2,1.8,1.7,6,86.7,56.5,0
75.8,62.3,1.5,6,9.9,82,64,0
76.8,61.5,1.7,5,8.9,84.9,62.6,0
73.2,50.8,2,3.4,9.9,84.2,56.8,0
76.9,48.9,2.4,1.6,6,84.2,57.9,0
74.9,58.5,2,1.4,6,84.2,60.4,0.08
73.7,46.2,2.3,4.5,9.9,84.2,56.8,0
71.1,46.3,2.4,3.9,15.9,82.4,52,0
70.2,54.6,1.5,2.4,6,80.6,54.7,0
74.9,56,2.4,4.1,8,85.3,59.4,0
72.5,50.1,2.1,3.8,12,84.6,53.6,0
76.3,49.6,2.1,0.7,4.1,87.8,55.4,0
73.3,50.9,2.4,0.7,4.1,87.8,53.2,0
75.4,50.5,1.9,1.6,5.1,88.9,53.1,0
78.3,49.2,2.3,1.9,6,91.4,55,0
77.3,51.9,2.7,3.2,6,90,58.1,0
77.3,50.1,2.5,0.7,2.9,89.6,55.6,0
77.6,51.5,2.1,1.4,5.1,89.8,53.4,0
80.3,54.7,2.3,0.8,2.9,95,59.5,0
79.7,57.7,2.3,1.6,6,90,65.7,0
80.5,54.3,2.5,4.6,11.1,92.7,59.9,0
79.8,51,2.3,4.6,12,91.6,60.3,0
80.7,52.4,2.5,3.4,9.9,93.6,59,0
82.2,51.9,2.2,1.6,8,95,60.6,0
84.5,55.7,2.2,1.7,5.1,95.5,61.7,0
84.9,59.5,2.1,1.5,5.1,98.1,64.6,0
87,57.7,2.2,3.1,8,96.8,70.9,0
80.8,66.6,1.9,1.3,5.1,93.2,70.5,0
82.4,55.5,2.3,5,14,93.2,64,0.12
83.1,48.6,2.6,5.3,12,94.3,62.6,0
82.8,52,2.4,3.5,12,96.4,64.9,0
82.7,51.1,2.7,3.4,12,97.2,64.6,0
84,54,2.4,3.4,40,97.7,66.6,0
82.8,59.3,1.6,1,4.1,95.5,68.4,0
82.8,61,2.2,3.4,6,96.8,66.9,0
85.4,63.6,2.2,2,7,95,69.6,0
86.5,58.9,2.1,2.9,8,95.4,71.6,0
84.2,48.2,2.4,3,8,96.3,63,0
85.8,49.5,2.4,2.7,9.9,98.4,64,0
86,49.3,2.5,1.5,7,99.3,62.1,0
89.4,50.3,2.5,2.7,8,102.4,67.5,0
91.2,55.1,2.2,2.6,8,102.6,71.2,0
91.9,48.4,2.1,1.9,8,104,68.9,0
91.3,45.9,2.6,3.5,9.9,104,72,0
92.1,45.7,2.4,4.5,12,106,72.1,0
92.7,54.2,2,1.9,9.9,106.2,69.6,0
90.8,61.9,2.1,1.3,4.1,104.4,68.5,0
90,54.2,2.2,5.4,12,97.9,79.5,0
85.7,67.6,2.4,3.7,12,93.2,75.9,0
82.4,67.1,2.5,6.4,12,94.1,73.4,0
81.8,70.8,1.8,0.8,4.1,94.8,70.2,0.35
81.8,67.8,1.8,2.3,8,98.1,69.4,0.28
82.8,65.5,2.2,1.2,6,91.4,71.6,0
88.5,58,2.4,2.9,8,97.5,70,0
89,54.1,2.5,4.9,11.1,97.7,72.9,0
87.5,50,2.6,5.9,19,97,72.9,0
89.6,50,2.6,4.5,9.9,100.4,68.2,0
89.5,51.7,2.2,1.7,6,102.7,67.5,0
90.1,61.2,2.5,3.2,8,102.2,73.4,0
94.9,62.4,2.2,0.8,4.1,105.8,73,0
91.4,67.8,2.4,5.6,11.1,102.2,79,0
90.8,68.8,2.5,3,8,102.6,77.5,0
91.8,68.9,2.2,3.4,6,102.9,77.9,0
88.3,71.1,2.6,7.5,18.1,98.6,75.6,0
86.4,71.2,2.7,8.4,15,95,74.8,0
86.1,69.3,2.8,9.6,16.9,95,75.7,0
85.6,69,2.4,5.2,15,94.3,74.7,0
88.2,70.9,2.5,8.9,12,97.5,69.1,0
83.1,70.6,2.4,8.4,11.1,91.4,67.1,0.51
88,74.4,2.9,7,11.1,95,77.9,0
85.9,70.3,2.5,9.3,15,92.7,78.4,0
86.3,74.4,5,8.1,13,98.6,77.5,0
86.8,74.5,7.6,4.3,8,94.3,77.9,0
86.7,75.5,4.5,8.6,12,96.3,78.8,0.08
86.4,72.9,4.1,7,12,95.2,77.4,0
82.7,72.2,4.1,10.6,15,87.8,74.3,0.08
87.7,71.7,5.1,7.4,9.9,95.4,75.2,0
